Semester,Campus,CRN,Course,Section #,Capacity,Enrollment,Faculty,Faculty IDs
Fall 2020,Boston,15177,CS 4500,2,49,35,"Hemann, Jason",318
Fall 2020,Online,11092,CS 1100,1,285,219,"Amor-Tijani, Ghita",29
Fall 2020,Boston,18260,CS 3001,4,40,26,"Ullman, Jonathan",788
Fall 2020,Boston,18261,CS 3001,5,40,40,"Gold, Kevin",275
Fall 2020,Boston,18262,CS 3001,6,40,33,"Gold, Kevin",275
Fall 2020,Boston,18263,CS 3001,7,40,35,"Van Der Poel, Drew",795
Fall 2020,Boston,18264,CS 3001,8,40,34,"Van Der Poel, Drew",795
Fall 2020,Boston,18265,CS 3001,9,40,38,"Rajaraman, Rajmohan",607
Fall 2020,Boston,18266,CS 3001,10,40,29,"Rajaraman, Rajmohan",607
Fall 2020,Boston,18267,CS 3001,11,40,34,"Rajaraman, Rajmohan",607
Fall 2020,Boston,18268,CS 3001,12,40,29,"Rajaraman, Rajmohan",607
Fall 2020,Boston,18269,CS 3001,13,40,33,"Ullman, Jonathan",788
Fall 2020,Boston,18278,DA 5030,3,40,30,"Schedlbauer, Martin",663
Fall 2020,Boston,18279,CS 2800,2,49,48,"Hemann, Jason",318
Fall 2020,Boston,18280,CS 7180,1,30,28,"Zhang, Hongyang",888
Fall 2020,Online,15217,CS 5003,4,35,17,"Bagley, Keith",49
Fall 2020,Boston,14199,CS 3500,4,49,49,"Razzaq, Leena",620
Fall 2020,Boston,10110,IS 4300,1,49,47,"Yildirim, Caglar",873
Fall 2020,Boston,18318,DS 4440,1,19,13,"Wallace, Byron",821
Fall 2020,Boston,16282,CS 4180,1,4,4,"Wong, Lawson",850
Fall 2020,Boston,16283,CS 4810,1,5,1,"Nguyen, Huy",544
Fall 2020,Boston,11171,CS 2500,3,105,104,"Ahmed, Amal",12
Fall 2020,Online,12204,CS 1210,1,38,35,"Bishnoi, Priyanka, Whitehead, Margaret","79, 839"
Fall 2020,Boston,12205,CS 2500,5,113,113,"Park, John",576
Fall 2020,Boston,12206,CS 2500,6,102,99,"Vesely, Ferdinand",807
Fall 2020,Boston,12207,CS 2500,7,100,94,"Park, John",576
Fall 2020,Boston,12208,CS 3520,1,87,86,"Cooper, Seth",146
Fall 2020,Boston,11188,CS 5010,1,80,39,"Freifeld, Clark",241
Fall 2020,Boston,10169,CS 2800,1,76,76,"Trypakis, Stavros",782
Fall 2020,Boston,16319,CS 5700,1,35,18,"Choffnes, David",131
Fall 2020,Boston,16320,CS 5800,2,87,83,"Van Der Poel, Drew",795
Fall 2020,Boston,12232,CS 6220,1,40,17,"Van De Meent, Jan-Willem",794
Fall 2020,Boston,12233,CS 5610,1,49,42,"Freifeld, Clark",241
Fall 2020,Boston,13262,CS 3800,2,87,64,"Schnyder, Walter",666
Fall 2020,Boston,13267,HINF 5110,1,19,1,"Powell, Adam",595
Fall 2020,Boston,10212,CS 2510,1,114,112,"Razzaq, Leena",620
Fall 2020,"No campus, no room needed",13285,HINF 5110,2,35,9,"Powell, Adam",595
Fall 2020,Boston,18505,CY 5010,1,49,15,"Sierra, Jose",702
Fall 2020,Boston,18506,CY 5120,1,50,11,"Rushanan, Joseph",646
Fall 2020,Boston,18507,CY 5200,1,50,25,"Papageorge, Themis",572
Fall 2020,Online,18510,CY 5010,2,30,8,"Sierra, Jose",702
Fall 2020,Online,18511,CY 5130,2,30,10,"Mex Perera, Jorge",494
Fall 2020,Online,18512,CY 5150,1,30,30,"Amorin, Kevin",30
